Phage Accession	Host Species	Host Genus	Used in analysis	Phage Family	Dataset
NC_000866	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_000871	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_000872	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_000902	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_000924	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_000929	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_001271	Yersinia enterocolitica	Yersinia	1	Podoviridae	Network
NC_001330	Escherichia coli	Escherichia	1	Microviridae	Network
NC_001332	Escherichia coli	Escherichia	1	Inoviridae	Network
NC_001335	Mycobacterium tuberculosis	Mycobacterium	1	Siphoviridae	Network
NC_001416	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_001420	Escherichia coli	Escherichia	1	Microviridae	Network
NC_001422	Escherichia coli	Escherichia	1	Microviridae	Network
NC_001604	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_001629	Lactococcus lactis subsp. lactis IL1403	Lactococcus	1	Siphoviridae	Network
NC_001706	Lactococcus lactis subsp. cremoris MG1363	Lactococcus	1	Siphoviridae	Network
NC_001741	Chlamydia psittaci	Chlamydia	1	Microviridae	Network
NC_001835	Lactococcus lactis subsp. cremoris MG1363	Lactococcus	1	Siphoviridae	Network
NC_001884	Bacillus subtilis	Bacillus	1	Siphoviridae	Network
NC_001895	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_001900	Mycobacterium tuberculosis	Mycobacterium	1	Siphoviridae	Network
NC_001901	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_001909	Lactococcus lactis subsp. lactis IL1403	Lactococcus	1	Siphoviridae	Network
NC_001954	Escherichia coli	Escherichia	1	Inoviridae	Network
NC_001998	Chlamydia psittaci	Chlamydia	1	Microviridae	Network
NC_002014	Escherichia coli	Escherichia	1	Inoviridae	Network
NC_002072	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_002166	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_002167	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_002185	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_002194	Chlamydia psittaci	Chlamydia	1	Microviridae	Network
NC_002214	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_002321	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_002362	Vibrio parahaemolyticus	Vibrio	1	Inoviridae	Network
NC_002363	Vibrio parahaemolyticus	Vibrio	1	Inoviridae	Network
NC_002371	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_002486	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_002643	Bdellovibrio bacteriovorus	Bdellovibrio	1	Microviridae	Network
NC_002649	Bacillus subtilis	Bacillus	1	Podoviridae	Network
NC_002656	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_002661	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_002666	Lactococcus lactis subsp. lactis IL1403	Lactococcus	1	Siphoviridae	Network
NC_002667	Lactococcus lactis subsp. lactis IL1403	Lactococcus	1	Siphoviridae	Network
NC_002668	Lactococcus lactis subsp. lactis IL1403	Lactococcus	1	Siphoviridae	Network
NC_002669	Lactococcus lactis subsp. lactis IL1403	Lactococcus	1	Siphoviridae	Network
NC_002671	Lactococcus lactis subsp. lactis IL1403	Lactococcus	1	Siphoviridae	Network
NC_002703	Lactococcus lactis subsp. cremoris UC509	Lactococcus	1	Siphoviridae	Network
NC_002730	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_002747	Lactococcus lactis subsp. cremoris 3107	Lactococcus	1	Siphoviridae	Network
NC_002796	Lactococcus lactis subsp. cremoris H2	Lactococcus	1	Siphoviridae	Network
NC_003050	Streptococcus pneumoniae	Streptococcus	1	Siphoviridae	Network
NC_003278	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_003287	Escherichia coli	Escherichia	1	Inoviridae	Network
NC_003288	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_003298	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_003309	Burkholderia thailandensis	Burkholderia	1	Siphoviridae	Network
NC_003313	Vibrio cholerae	Vibrio	1	Myoviridae	Network
NC_003327	Vibrio cholerae	Vibrio	1	Inoviridae	Network
NC_003356	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_003387	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_003444	Shigella flexneri	Shigella	1	Myoviridae	Network
NC_003524	Clostridium perfringens	Clostridium	1	Siphoviridae	Network
NC_003525	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_003907	Vibrio parahaemolyticus	Vibrio	1	Podoviridae	Network
NC_004066	Lactococcus lactis SMQ-86	Lactococcus	1	Siphoviridae	Network
NC_004165	Bacillus subtilis	Bacillus	1	Podoviridae	Network
NC_004166	Bacillus subtilis	Bacillus	1	Siphoviridae	Network
NC_004167	Bacillus subtilis	Bacillus	1	Siphoviridae	Network
NC_004302	Lactococcus lactis subsp. cremoris R1	Lactococcus	1	Siphoviridae	Network
NC_004303	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_004306	Vibrio cholerae	Vibrio	1	Inoviridae	Network
NC_004313	Salmonella enterica	Salmonella	1	Caudovirales	Network
NC_004333	Burkholderia cepacia	Burkholderia	1	Myoviridae	Network
NC_004348	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_004456	Vibrio harveyi	Vibrio	1	Myoviridae	Network
NC_004466	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_004584	Streptococcus pyogenes	Streptococcus	1	Podoviridae	Network
NC_004585	Streptococcus pyogenes	Streptococcus	1	Podoviridae	Network
NC_004586	Streptococcus pyogenes	Streptococcus	1	Podoviridae	Network
NC_004587	Streptococcus pyogenes	Streptococcus	1	Podoviridae	Network
NC_004588	Streptococcus pyogenes	Streptococcus	1	Caudovirales	Network
NC_004589	Streptococcus pyogenes	Streptococcus	1	Podoviridae	Network
NC_004615	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_004616	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_004617	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_004629	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_004665	Pseudomonas putida	Pseudomonas	1	Podoviridae	Network
NC_004678	Staphylococcus aureus	Staphylococcus	1	Podoviridae	Network
NC_004679	Staphylococcus aureus	Staphylococcus	1	Podoviridae	Network
NC_004680	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_004681	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_004682	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_004683	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_004684	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_004685	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_004686	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_004687	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_004688	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_004689	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_004736	Vibrio cholerae	Vibrio	1	Inoviridae	Network
NC_004740	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_004745	Yersinia pestis	Yersinia	1	Myoviridae	Network
NC_004746	Lactococcus lactis DPC4268	Lactococcus	1	Siphoviridae	Network
NC_004775	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_004777	Yersinia pestis	Yersinia	1	Podoviridae	Network
NC_004813	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_004814	Streptococcus sp. group C	Streptococcus	1	Podoviridae	Network
NC_004820	Bacillus cereus	Bacillus	1	Podoviridae	Network
NC_004821	Bacillus cereus	Bacillus	1	Podoviridae	Network
NC_004831	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_004928	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_004996	Streptococcus mitis	Streptococcus	1	Siphoviridae	Network
NC_005045	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_005066	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_005069	Yersinia enterocolitica	Yersinia	1	Siphoviridae	Network
NC_005083	Vibrio parahaemolyticus	Vibrio	1	Myoviridae	Network
NC_005091	Burkholderia cepacia	Burkholderia	1	Siphoviridae	Network
NC_005178	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_005258	Bacillus thuringiensis	Bacillus	1	Tectiviridae	Network
NC_005259	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_005263	Burkholderia cenocepacia	Burkholderia	1	Myoviridae	Network
NC_005282	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_005284	Burkholderia pseudomallei	Burkholderia	1	Siphoviridae	Network
NC_005294	Streptococcus pneumoniae	Streptococcus	1	Myoviridae	Network
NC_005340	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_005342	Burkholderia cepacia	Burkholderia	1	Myoviridae	Network
NC_005344	Shigella flexneri	Shigella	1	Podoviridae	Network
NC_005356	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_005822	Lactococcus lactis subsp. cremoris	Lactococcus	1	Siphoviridae	Network
NC_005833	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_005841	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_005856	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_005859	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_005880	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_005882	Burkholderia cenocepacia	Burkholderia	1	Myoviridae	Network
NC_005884	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_005886	Burkholderia cenocepacia	Burkholderia	1	Myoviridae	Network
NC_005887	Burkholderia cepacia	Burkholderia	1	Podoviridae	Network
NC_005948	Vibrio parahaemolyticus	Vibrio	1	Inoviridae	Network
NC_005949	Vibrio parahaemolyticus	Vibrio	1	Inoviridae	Network
NC_006294	Vibrio cholerae	Vibrio	1	Inoviridae	Network
NC_006548	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_006552	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_006557	Bacillus clarkii	Bacillus	1	Siphoviridae	Network
NC_006820	Synechococcus sp. SynWH7803	Synechococcus	1	Myoviridae	Network
NC_006882	Prochlorococcus sp. MED4	Prochlorococcus	1	Podoviridae	Network
NC_006883	Prochlorococcus sp. NATL1A	Prochlorococcus	1	Myoviridae	Network
NC_006884	Prochlorococcus sp. NATL2A	Prochlorococcus	1	Myoviridae	Network
NC_006940	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_006945	Bacillus thuringiensis	Bacillus	1	Tectiviridae	Network
NC_006949	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_007019	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_007021	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_007023	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_007046	Staphylococcus aureus	Staphylococcus	1	Podoviridae	Network
NC_007047	Staphylococcus [pred]	Staphylococcus	1	Siphoviridae	Network
NC_007048	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007049	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007050	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007051	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007052	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007053	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007054	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007055	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007056	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007057	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007058	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007059	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007060	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007061	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
