PhageAcc	HostSpec	HostAcc
NC_000866	Escherichia coli	NC_000913
NC_000871	Streptococcus thermophilus	NC_006448
NC_000872	Streptococcus thermophilus	NC_006448
NC_000902	Escherichia coli	NC_000913
NC_000924	Escherichia coli	NC_000913
NC_000929	Escherichia coli	NC_000913
NC_001271	Yersinia enterocolitica	NC_008800
NC_001330	Escherichia coli	NC_000913
NC_001332	Escherichia coli	NC_000913
NC_001335	Mycobacterium tuberculosis	NC_000962
NC_001416	Escherichia coli	NC_000913
NC_001420	Escherichia coli	NC_000913
NC_001422	Escherichia coli	NC_000913
NC_001604	Escherichia coli	NC_000913
NC_001629	Lactococcus lactis subsp. lactis IL1403	NC_002662
NC_001706	Lactococcus lactis subsp. cremoris MG1363	NC_009004
NC_001741	Chlamydia psittaci	NC_017287
NC_001835	Lactococcus lactis subsp. cremoris MG1363	NC_009004
NC_001884	Bacillus subtilis	NC_000964
NC_001895	Escherichia coli	NC_000913
NC_001900	Mycobacterium tuberculosis	NC_000962
NC_001901	Escherichia coli	NC_000913
NC_001909	Lactococcus lactis subsp. lactis IL1403	NC_002662
NC_001954	Escherichia coli	NC_000913
NC_001998	Chlamydia psittaci	NC_017287
NC_002014	Escherichia coli	NC_000913
NC_002072	Streptococcus thermophilus	NC_006448
NC_002166	Escherichia coli	NC_000913
NC_002167	Escherichia coli	NC_000913
NC_002185	Streptococcus thermophilus	NC_006448
NC_002194	Chlamydia psittaci	NC_017287
NC_002214	Streptococcus thermophilus	NC_006448
NC_002321	Staphylococcus aureus	NC_007795
NC_002362	Vibrio parahaemolyticus	NC_00460x
NC_002363	Vibrio parahaemolyticus	NC_00460x
NC_002371	Salmonella enterica	NC_003197
NC_002486	Staphylococcus aureus	NC_007795
NC_002643	Bdellovibrio bacteriovorus	NZ_CP002190
NC_002649	Bacillus subtilis	NC_000964
NC_002656	Mycobacterium smegmatis	NC_008596
NC_002661	Staphylococcus aureus	NC_007795
NC_002666	Lactococcus lactis subsp. lactis IL1403	NC_002662
NC_002667	Lactococcus lactis subsp. lactis IL1403	NC_002662
NC_002668	Lactococcus lactis subsp. lactis IL1403	NC_002662
NC_002669	Lactococcus lactis subsp. lactis IL1403	NC_002662
NC_002671	Lactococcus lactis subsp. lactis IL1403	NC_002662
NC_002703	Lactococcus lactis subsp. cremoris UC509	NC_019435
NC_002730	Escherichia coli	NC_000913
NC_003050	Streptococcus pneumoniae	NC_003098
NC_003278	Pseudomonas aeruginosa	NC_002516
NC_003287	Escherichia coli	NC_000913
NC_003288	Staphylococcus aureus	NC_007795
NC_003298	Escherichia coli	NC_000913
NC_003309	Burkholderia thailandensis	NC_007651
NC_003313	Vibrio cholerae	NC_00250x
NC_003327	Vibrio cholerae	NC_00250x
NC_003356	Escherichia coli	NC_000913
NC_003387	Mycobacterium smegmatis	NC_008596
NC_003444	Shigella flexneri	NC_004337
NC_003524	Clostridium perfringens	NC_008261
NC_003525	Escherichia coli	NC_000913
NC_003907	Vibrio parahaemolyticus	NC_00460x
NC_004165	Bacillus subtilis	NC_000964
NC_004166	Bacillus subtilis	NC_000964
NC_004167	Bacillus subtilis	NC_000964
NC_004303	Streptococcus thermophilus	NC_006448
NC_004306	Vibrio cholerae	NC_00250x
NC_004313	Salmonella enterica	NC_003197
NC_004333	Burkholderia cepacia	NZ_CP012983
NC_004348	Salmonella enterica	NC_003197
NC_004456	Vibrio harveyi	NZ_CP00946x
NC_004466	Pseudomonas aeruginosa	NC_002516
NC_004584	Streptococcus pyogenes	NC_002737
NC_004585	Streptococcus pyogenes	NC_002737
NC_004586	Streptococcus pyogenes	NC_002737
NC_004587	Streptococcus pyogenes	NC_002737
NC_004588	Streptococcus pyogenes	NC_002737
NC_004589	Streptococcus pyogenes	NC_002737
NC_004615	Staphylococcus aureus	NC_007795
NC_004616	Staphylococcus aureus	NC_007795
NC_004617	Staphylococcus aureus	NC_007795
NC_004629	Pseudomonas aeruginosa	NC_002516
NC_004665	Pseudomonas putida	NC_002947
NC_004678	Staphylococcus aureus	NC_007795
NC_004679	Staphylococcus aureus	NC_007795
NC_004684	Mycobacterium smegmatis	NC_008596
NC_004686	Mycobacterium smegmatis	NC_008596
NC_004687	Mycobacterium smegmatis	NC_008596
NC_004736	Vibrio cholerae	NC_00250x
NC_004740	Staphylococcus aureus	NC_007795
NC_004745	Yersinia pestis	NC_003143
NC_004775	Salmonella enterica	NC_003197
NC_004777	Yersinia pestis	NC_003143
NC_004813	Escherichia coli	NC_000913
NC_004814	Streptococcus equi	NC_012470
NC_004820	Bacillus cereus	NC_004722
NC_004821	Bacillus cereus	NC_004722
NC_004831	Salmonella enterica	NC_003197
NC_004928	Escherichia coli	NC_000913
