Acinetobacter	Anabaena	Bacillus	Bdellovibrio	Burkholderia	Chlamydia	Chlamydophila	Clostridium	Escherichia	Lactococcus	Microcystis	Mycobacterium	Prochlorococcus	Pseudomonas	Salmonella	Shigella	Staphylococcus	Streptococcus	Synechococcus	Vibrio	Yersinia
mcl_1	0	0	25	0	0	0	0	1	1	0	0	0	0	0	0	0	13	0	0	0	0
mcl_2	4	1	0	0	0	0	0	0	26	1	1	0	10	2	3	2	0	0	12	3	1
mcl_4	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	14	0	0
mcl_5	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0
mcl_8	0	0	0	0	0	0	0	0	3	0	0	0	0	5	9	1	0	0	0	1	0
mcl_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0
mcl_18	1	0	0	0	2	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0
mcl_19	0	0	0	0	0	0	0	0	9	0	0	0	1	6	2	0	0	0	0	4	5
mcl_21	0	0	0	1	0	0	0	0	12	0	0	0	0	0	1	2	0	0	0	0	0
mcl_23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_25	0	0	0	0	0	0	0	0	4	0	0	0	0	7	1	0	0	0	0	0	0
mcl_26	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
mcl_29	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	1	0
mcl_36	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
mcl_37	0	0	0	0	0	0	0	0	19	0	0	0	0	0	4	1	0	0	0	1	0
mcl_40	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
mcl_41	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_47	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
mcl_52	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_54	0	0	1	0	1	0	0	0	1	0	0	0	0	0	5	0	13	2	0	0	0
mcl_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
mcl_76	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	1	0
mcl_79	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	1	1
mcl_87	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0
mcl_89	0	0	0	0	0	0	0	0	18	0	0	0	0	0	12	0	0	0	0	0	0
mcl_91	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_93	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
mcl_96	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0
mcl_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
mcl_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
mcl_102	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_103	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	3	1
mcl_104	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
mcl_107	0	0	0	0	0	0	0	0	22	0	0	0	0	0	1	0	0	0	0	0	0
mcl_122	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
mcl_123	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
mcl_128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_131	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
mcl_140	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0
mcl_149	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mcl_150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
mcl_157	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
mcl_170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
mcl_175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mcl_177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mcl_180	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
mcl_181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_184	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_191	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
